Time,Zone Name,Zone Temp (f),Status,Zone Name,Zone Temp (f),Status,Zone Name,Zone Temp (f),Status
Tue Nov  1 23:37:32 2022,Master Bedroom,69.35,0,Main Floor,185.0,0,Upper Floor,69.6866,1
Tue Nov  1 23:38:37 2022,Master Bedroom,69.35,0,Main Floor,69.35,0,Upper Floor,69.6866,1
Tue Nov  1 23:39:41 2022,Master Bedroom,69.4616,0,Main Floor,69.35,0,Upper Floor,69.80000000000001,1
Tue Nov  1 23:40:44 2022,Master Bedroom,69.4616,0,Main Floor,69.35,0,Upper Floor,69.80000000000001,1
Tue Nov  1 23:41:48 2022,Master Bedroom,69.35,0,Main Floor,69.23660000000001,0,Upper Floor,69.6866,1
Tue Nov  1 23:42:52 2022,Master Bedroom,69.35,0,Main Floor,69.23660000000001,0,Upper Floor,69.80000000000001,0
Tue Nov  1 23:43:55 2022,Master Bedroom,69.35,0,Main Floor,69.23660000000001,0,Upper Floor,69.6866,1
Tue Nov  1 23:44:59 2022,Master Bedroom,69.35,0,Main Floor,69.23660000000001,0,Upper Floor,69.6866,1
Tue Nov  1 23:46:02 2022,Master Bedroom,69.35,0,Main Floor,69.23660000000001,0,Upper Floor,69.6866,1
Tue Nov  1 23:47:06 2022,Master Bedroom,69.35,0,Main Floor,69.23660000000001,0,Upper Floor,69.6866,1
Tue Nov  1 23:48:10 2022,Master Bedroom,69.35,0,Main Floor,69.23660000000001,0,Upper Floor,69.6866,1
Tue Nov  1 23:49:14 2022,Master Bedroom,69.35,0,Main Floor,69.23660000000001,0,Upper Floor,69.6866,0
Tue Nov  1 23:50:18 2022,Master Bedroom,69.35,0,Main Floor,69.23660000000001,0,Upper Floor,69.6866,1
Tue Nov  1 23:51:21 2022,Master Bedroom,69.35,0,Main Floor,69.23660000000001,0,Upper Floor,69.6866,1
Tue Nov  1 23:52:25 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Tue Nov  1 23:53:29 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Tue Nov  1 23:54:33 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Tue Nov  1 23:55:37 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.575,0
Tue Nov  1 23:56:41 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.575,1
Tue Nov  1 23:57:45 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.575,1
Tue Nov  1 23:58:50 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Tue Nov  1 23:59:54 2022,Master Bedroom,69.35,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Wed Nov  2 00:00:58 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Wed Nov  2 00:02:02 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,0
Wed Nov  2 00:03:07 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Wed Nov  2 00:04:11 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Wed Nov  2 00:05:15 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Wed Nov  2 00:06:19 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Wed Nov  2 00:07:23 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Wed Nov  2 00:08:27 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.575,0
Wed Nov  2 00:09:31 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.6866,1
Wed Nov  2 00:10:35 2022,Master Bedroom,69.125,0,Main Floor,68.9,1,Upper Floor,69.575,1
Wed Nov  2 00:11:40 2022,Master Bedroom,69.125,0,Main Floor,69.0116,1,Upper Floor,69.575,1
Wed Nov  2 00:12:44 2022,Master Bedroom,69.125,0,Main Floor,69.0116,1,Upper Floor,69.4616,1
Wed Nov  2 00:13:49 2022,Master Bedroom,69.125,0,Main Floor,69.0116,1,Upper Floor,69.4616,1
Wed Nov  2 00:14:53 2022,Master Bedroom,69.125,0,Main Floor,69.0116,1,Upper Floor,69.575,0
Wed Nov  2 00:15:57 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.125,0,Upper Floor,69.575,1
Wed Nov  2 00:17:01 2022,Master Bedroom,69.125,0,Main Floor,69.0116,0,Upper Floor,69.575,1
Wed Nov  2 00:18:07 2022,Master Bedroom,69.23660000000001,0,Main Floor,69.0116,0,Upper Floor,69.575,1
Wed Nov  2 00:19:11 2022,Master Bedroom,69.125,0,Main Floor,69.0116,0,Upper Floor,69.575,1
Wed Nov  2 00:20:15 2022,Master Bedroom,69.125,0,Main Floor,69.0116,0,Upper Floor,69.575,1
