Time,Zone Name,Zone Temp (f),Status,Zone Name,Zone Temp (f),Status,Zone Name,Zone Temp (f),Status
Sat Oct 22 23:38:35 2022,Master Bedroom,74.30000000000001,0,Main Floor,74.30000000000001,0,Upper Floor,74.86160000000001,0
Sat Oct 22 23:39:39 2022,Master Bedroom,74.525,0,Main Floor,74.525,0,Upper Floor,74.86160000000001,0
Sat Oct 22 23:40:43 2022,Master Bedroom,74.525,0,Main Floor,74.525,0,Upper Floor,75.0866,0
Sat Oct 22 23:41:47 2022,Master Bedroom,74.41159999999999,0,Main Floor,74.41159999999999,0,Upper Floor,75.0866,0
Sat Oct 22 23:42:51 2022,Master Bedroom,74.525,0,Main Floor,74.41159999999999,0,Upper Floor,75.0866,0
Sat Oct 22 23:43:55 2022,Master Bedroom,74.525,0,Main Floor,74.41159999999999,0,Upper Floor,75.0866,0
Sat Oct 22 23:44:59 2022,Master Bedroom,74.525,0,Main Floor,74.525,0,Upper Floor,75.0866,0
Sat Oct 22 23:46:02 2022,Master Bedroom,74.525,0,Main Floor,74.41159999999999,0,Upper Floor,75.0866,0
Sat Oct 22 23:47:06 2022,Master Bedroom,74.41159999999999,0,Main Floor,74.30000000000001,0,Upper Floor,74.975,0
Sat Oct 22 23:48:10 2022,Master Bedroom,74.525,0,Main Floor,74.41159999999999,0,Upper Floor,75.0866,0
Sat Oct 22 23:49:14 2022,Master Bedroom,74.525,0,Main Floor,74.525,0,Upper Floor,75.0866,0
Sat Oct 22 23:50:18 2022,Master Bedroom,74.525,0,Main Floor,74.41159999999999,0,Upper Floor,74.975,0
Sat Oct 22 23:51:22 2022,Master Bedroom,74.525,0,Main Floor,74.41159999999999,0,Upper Floor,75.0866,0
Sat Oct 22 23:52:26 2022,Master Bedroom,74.41159999999999,0,Main Floor,74.41159999999999,0,Upper Floor,74.975,0
Sat Oct 22 23:53:30 2022,Master Bedroom,74.41159999999999,0,Main Floor,74.41159999999999,0,Upper Floor,74.975,0
Sat Oct 22 23:54:34 2022,Master Bedroom,74.525,0,Main Floor,74.41159999999999,0,Upper Floor,75.0866,0
Sat Oct 22 23:55:38 2022,Master Bedroom,74.41159999999999,0,Main Floor,74.41159999999999,0,Upper Floor,75.0866,0
Sat Oct 22 23:56:43 2022,Master Bedroom,74.525,0,Main Floor,74.41159999999999,0,Upper Floor,74.975,0
Sat Oct 22 23:57:47 2022,Master Bedroom,74.41159999999999,0,Main Floor,74.30000000000001,0,Upper Floor,74.975,0
Sat Oct 22 23:58:51 2022,Master Bedroom,74.525,0,Main Floor,74.41159999999999,0,Upper Floor,74.975,0
Sat Oct 22 23:59:55 2022,Master Bedroom,74.41159999999999,0,Main Floor,74.30000000000001,0,Upper Floor,74.975,0
Sun Oct 23 00:01:00 2022,Master Bedroom,74.41159999999999,0,Main Floor,74.41159999999999,0,Upper Floor,74.975,0
Sun Oct 23 00:02:04 2022,Master Bedroom,74.41159999999999,0,Main Floor,74.30000000000001,0,Upper Floor,74.975,0
Sun Oct 23 00:03:08 2022,Master Bedroom,74.30000000000001,0,Main Floor,74.30000000000001,0,Upper Floor,74.86160000000001,0
Sun Oct 23 00:04:12 2022,Master Bedroom,74.30000000000001,0,Main Floor,74.1866,0,Upper Floor,74.86160000000001,0
Sun Oct 23 00:05:16 2022,Master Bedroom,74.30000000000001,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:06:20 2022,Master Bedroom,74.30000000000001,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:07:25 2022,Master Bedroom,74.1866,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:08:29 2022,Master Bedroom,74.1866,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:09:33 2022,Master Bedroom,74.1866,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:10:37 2022,Master Bedroom,74.1866,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:11:41 2022,Master Bedroom,74.075,0,Main Floor,74.075,0,Upper Floor,74.75,0
Sun Oct 23 00:12:46 2022,Master Bedroom,74.1866,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:13:50 2022,Master Bedroom,74.075,0,Main Floor,74.075,0,Upper Floor,74.6366,0
Sun Oct 23 00:14:54 2022,Master Bedroom,74.1866,0,Main Floor,74.075,0,Upper Floor,74.6366,0
Sun Oct 23 00:15:59 2022,Master Bedroom,74.1866,0,Main Floor,74.075,0,Upper Floor,74.6366,0
Sun Oct 23 00:17:03 2022,Master Bedroom,74.30000000000001,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:18:07 2022,Master Bedroom,74.1866,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:19:11 2022,Master Bedroom,74.1866,0,Main Floor,74.1866,0,Upper Floor,74.6366,0
Sun Oct 23 00:20:16 2022,Master Bedroom,74.1866,0,Main Floor,74.075,0,Upper Floor,74.6366,0
Sun Oct 23 00:21:20 2022,Master Bedroom,74.1866,0,Main Floor,74.075,0,Upper Floor,74.6366,0
Sun Oct 23 00:22:24 2022,Master Bedroom,74.30000000000001,0,Main Floor,74.1866,0,Upper Floor,74.86160000000001,0
Sun Oct 23 00:23:28 2022,Master Bedroom,74.30000000000001,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:24:33 2022,Master Bedroom,74.30000000000001,0,Main Floor,74.30000000000001,0,Upper Floor,74.75,0
Sun Oct 23 00:25:37 2022,Master Bedroom,74.30000000000001,0,Main Floor,74.1866,0,Upper Floor,74.86160000000001,0
Sun Oct 23 00:26:41 2022,Master Bedroom,74.1866,0,Main Floor,74.1866,0,Upper Floor,74.86160000000001,0
Sun Oct 23 00:27:46 2022,Master Bedroom,74.1866,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:28:50 2022,Master Bedroom,74.1866,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:29:55 2022,Master Bedroom,74.1866,0,Main Floor,74.075,0,Upper Floor,74.75,0
Sun Oct 23 00:30:59 2022,Master Bedroom,74.1866,0,Main Floor,74.1866,0,Upper Floor,74.75,0
Sun Oct 23 00:32:03 2022,Master Bedroom,74.075,0,Main Floor,74.075,0,Upper Floor,74.525,0
Sun Oct 23 00:33:08 2022,Master Bedroom,74.075,0,Main Floor,73.9616,0,Upper Floor,74.525,0
Sun Oct 23 00:34:12 2022,Master Bedroom,74.075,0,Main Floor,74.075,0,Upper Floor,74.525,0
Sun Oct 23 00:35:16 2022,Master Bedroom,74.075,0,Main Floor,74.075,0,Upper Floor,74.525,0
Sun Oct 23 00:36:20 2022,Master Bedroom,73.9616,0,Main Floor,73.9616,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:37:24 2022,Master Bedroom,74.075,0,Main Floor,73.9616,0,Upper Floor,74.525,0
Sun Oct 23 00:38:29 2022,Master Bedroom,73.9616,0,Main Floor,73.85,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:39:33 2022,Master Bedroom,73.9616,0,Main Floor,73.9616,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:40:37 2022,Master Bedroom,73.9616,0,Main Floor,73.85,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:41:41 2022,Master Bedroom,73.9616,0,Main Floor,73.85,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:42:46 2022,Master Bedroom,73.9616,0,Main Floor,73.85,0,Upper Floor,74.525,0
Sun Oct 23 00:43:50 2022,Master Bedroom,73.9616,0,Main Floor,73.9616,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:44:54 2022,Master Bedroom,73.85,0,Main Floor,73.9616,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:45:58 2022,Master Bedroom,73.9616,0,Main Floor,73.9616,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:47:03 2022,Master Bedroom,73.9616,0,Main Floor,73.9616,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:48:07 2022,Master Bedroom,73.85,0,Main Floor,73.9616,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:49:11 2022,Master Bedroom,73.85,0,Main Floor,73.85,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:50:16 2022,Master Bedroom,73.9616,0,Main Floor,73.85,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:51:20 2022,Master Bedroom,73.9616,0,Main Floor,73.9616,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:52:24 2022,Master Bedroom,73.9616,0,Main Floor,73.9616,0,Upper Floor,74.525,0
Sun Oct 23 00:53:28 2022,Master Bedroom,73.9616,0,Main Floor,73.85,0,Upper Floor,74.525,0
Sun Oct 23 00:54:32 2022,Master Bedroom,73.9616,0,Main Floor,73.85,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:55:37 2022,Master Bedroom,73.9616,0,Main Floor,73.9616,0,Upper Floor,74.41159999999999,0
Sun Oct 23 00:56:41 2022,Master Bedroom,73.9616,0,Main Floor,73.9616,0,Upper Floor,74.525,0
Sun Oct 23 00:57:45 2022,Master Bedroom,73.9616,0,Main Floor,73.9616,0,Upper Floor,74.525,0
