Time,Zone Name,Zone Temp (f),Status,Zone Name,Zone Temp (f),Status,Zone Name,Zone Temp (f),Status
Thu Sep 22 08:19:39 2022,Master Bedroom,72.5,0,Main Floor,72.5,0,Upper Floor,72.8366,0
Thu Sep 22 08:20:44 2022,Master Bedroom,72.5,0,Main Floor,72.5,0,Upper Floor,72.725,0
Thu Sep 22 08:21:48 2022,Master Bedroom,72.16159999999999,0,Main Floor,72.16159999999999,0,Upper Floor,72.3866,0
Thu Sep 22 08:22:52 2022,Master Bedroom,72.05000000000001,0,Main Floor,72.05000000000001,0,Upper Floor,72.275,0
Thu Sep 22 08:23:55 2022,Master Bedroom,71.7116,0,Main Floor,71.6,0,Upper Floor,71.9366,0
Thu Sep 22 08:24:59 2022,Master Bedroom,71.7116,0,Main Floor,71.48660000000001,0,Upper Floor,72.05000000000001,0
Thu Sep 22 08:26:03 2022,Master Bedroom,71.825,0,Main Floor,71.7116,0,Upper Floor,72.05000000000001,0
Thu Sep 22 08:27:07 2022,Master Bedroom,71.375,0,Main Floor,71.375,0,Upper Floor,71.7116,0
Thu Sep 22 08:28:10 2022,Master Bedroom,71.2616,0,Main Floor,71.15,0,Upper Floor,71.6,0
Thu Sep 22 08:29:14 2022,Master Bedroom,71.2616,0,Main Floor,71.375,0,Upper Floor,71.6,0
Thu Sep 22 08:30:18 2022,Master Bedroom,71.375,0,Main Floor,71.2616,0,Upper Floor,71.7116,0
Thu Sep 22 08:31:22 2022,Master Bedroom,71.15,0,Main Floor,71.2616,0,Upper Floor,71.7116,0
Thu Sep 22 08:32:26 2022,Master Bedroom,71.15,0,Main Floor,71.15,0,Upper Floor,71.375,0
Thu Sep 22 08:33:30 2022,Master Bedroom,71.15,0,Main Floor,71.03659999999999,0,Upper Floor,71.375,0
Thu Sep 22 08:34:34 2022,Master Bedroom,71.03659999999999,0,Main Floor,71.03659999999999,0,Upper Floor,71.375,0
Thu Sep 22 08:35:38 2022,Master Bedroom,71.03659999999999,0,Main Floor,71.03659999999999,0,Upper Floor,71.48660000000001,0
Thu Sep 22 08:36:42 2022,Master Bedroom,71.15,0,Main Floor,70.92500000000001,0,Upper Floor,71.48660000000001,0
Thu Sep 22 08:37:47 2022,Master Bedroom,71.15,0,Main Floor,70.92500000000001,0,Upper Floor,71.48660000000001,0
Thu Sep 22 08:38:51 2022,Master Bedroom,71.375,0,Main Floor,71.2616,0,Upper Floor,71.7116,0
Thu Sep 22 08:39:55 2022,Master Bedroom,71.48660000000001,0,Main Floor,71.375,0,Upper Floor,71.9366,0
Thu Sep 22 08:40:59 2022,Master Bedroom,71.6,0,Main Floor,71.6,0,Upper Floor,72.05000000000001,0
Thu Sep 22 08:42:04 2022,Master Bedroom,71.825,0,Main Floor,71.7116,0,Upper Floor,72.275,0
Thu Sep 22 08:43:08 2022,Master Bedroom,71.9366,0,Main Floor,71.825,0,Upper Floor,72.3866,0
Thu Sep 22 08:44:12 2022,Master Bedroom,72.05000000000001,0,Main Floor,71.9366,0,Upper Floor,72.5,0
Thu Sep 22 08:45:17 2022,Master Bedroom,72.16159999999999,0,Main Floor,72.05000000000001,0,Upper Floor,72.61160000000001,0
Thu Sep 22 08:46:21 2022,Master Bedroom,72.05000000000001,0,Main Floor,71.825,0,Upper Floor,72.5,0
Thu Sep 22 08:47:25 2022,Master Bedroom,71.9366,0,Main Floor,71.825,0,Upper Floor,72.275,0
Thu Sep 22 08:48:30 2022,Master Bedroom,71.9366,0,Main Floor,71.7116,0,Upper Floor,72.275,0
Thu Sep 22 08:49:34 2022,Master Bedroom,71.9366,0,Main Floor,71.825,0,Upper Floor,72.275,0
Thu Sep 22 08:50:38 2022,Master Bedroom,72.05000000000001,0,Main Floor,71.9366,0,Upper Floor,72.275,0
Thu Sep 22 08:51:43 2022,Master Bedroom,72.16159999999999,0,Main Floor,71.9366,0,Upper Floor,72.61160000000001,0
Thu Sep 22 08:52:47 2022,Master Bedroom,72.275,0,Main Floor,72.05000000000001,0,Upper Floor,72.61160000000001,0
Thu Sep 22 08:53:51 2022,Master Bedroom,72.275,0,Main Floor,72.16159999999999,0,Upper Floor,72.725,0
